time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/value_loss,train/loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/entropy_loss,train/std,train/explained_variance,eval/mean_ep_length,eval/mean_reward
11592,1,1000.0,16384,217.92210593750002,1,,,,,,,,,,,,,
8709,3,1000.0,32768,220.87723840625,2,0.14865301465033554,0.0016873888671398163,0.015926603,10,-0.016885014316358138,0.18841552734375,0.0003,0.2,-4.998168969899416,0.3667968809604645,-2.614348888397217,,
8064,6,1000.0,49152,223.90885066666667,3,0.029356128624931442,-0.008473794907331467,0.01616985,20,-0.021184929724768153,0.196942138671875,0.0003,0.2,-4.948886671662331,0.3651966154575348,0.041938722133636475,,
7734,8,1000.0,65536,225.8769746875,4,0.021733101330755743,-0.024516895413398743,0.01663024,30,-0.023554670110024746,0.211553955078125,0.0003,0.2,-4.8928935445845125,0.3632408380508423,0.6319146156311035,,
7569,10,1000.0,81920,228.16011826249996,5,0.01602543568587862,-0.030397264286875725,0.017951123,40,-0.02455251216961187,0.230120849609375,0.0003,0.2,-4.809800740331411,0.36089420318603516,0.710350751876831,,
7470,13,1000.0,98304,230.88774814583334,6,0.012725997244706378,-0.02580084651708603,0.01825798,50,-0.025072039272345137,0.2319091796875,0.0003,0.2,-4.736373607069254,0.3584786355495453,0.7753239870071411,,
,,,100000,,,0.00988394072483061,-0.031112363561987877,0.018849727,60,-0.027772676482709358,0.247247314453125,0.0003,0.2,-4.6394372001290325,0.3556479513645172,0.826757550239563,1000.0,305.76111380000003
6748,16,1000.0,114688,235.61021453999993,7,,,,,,,,,,,,,
6774,19,1000.0,131072,241.94953782000005,8,0.00850845446329913,-0.033799439668655396,0.019697769,70,-0.028581139298330525,0.2555419921875,0.0003,0.2,-4.561413065344095,0.35366296768188477,0.8182369470596313,,
6798,21,1000.0,147456,249.63173009,9,0.007220470836909953,-0.0344502218067646,0.02092572,80,-0.028986530688416678,0.261199951171875,0.0003,0.2,-4.49330061674118,0.3513462543487549,0.8392121195793152,,
6801,24,1000.0,163840,257.85738895,10,0.005461140532861464,-0.04079598933458328,0.021279424,90,-0.02983259514949168,0.269683837890625,0.0003,0.2,-4.405866628885269,0.34869036078453064,0.8527463674545288,,
6826,26,1000.0,180224,266.82740149000006,11,0.00541524801919877,-0.03728163614869118,0.021508222,100,-0.029531619161571144,0.265435791015625,0.0003,0.2,-4.318338502943516,0.3460826575756073,0.8598247766494751,,
6833,28,1000.0,196608,275.51992764000005,12,0.0057928699472540755,-0.0365157313644886,0.024021018,110,-0.028649726159346755,0.287255859375,0.0003,0.2,-4.248708079755306,0.3440532684326172,0.875566840171814,,
,,,200000,,,0.004646022977613029,-0.03948785364627838,0.022110801,120,-0.028696091151505242,0.273529052734375,0.0003,0.2,-4.152976030856371,0.3414511978626251,0.892479658126831,1000.0,374.688811
6532,32,1000.0,212992,284.70197072999997,13,,,,,,,,,,,,,
6562,34,1000.0,229376,294.8275802,14,0.004272561438119738,-0.03803253546357155,0.02173643,130,-0.028162478677768377,0.273553466796875,0.0003,0.2,-4.065910485386849,0.33884334564208984,0.8832448124885559,,
6593,37,1000.0,245760,303.44933169999996,15,0.0036010934612932034,-0.036842066794633865,0.02284708,140,-0.028168064642159152,0.2749755859375,0.0003,0.2,-3.9841188438236714,0.336822509765625,0.8672678470611572,,
6609,39,1000.0,262144,311.78215604999997,16,0.0033912515342308324,-0.028271665796637535,0.02519044,150,-0.02945402186960564,0.295770263671875,0.0003,0.2,-3.8929840005934238,0.33417293429374695,0.8880546689033508,,
6636,41,1000.0,278528,319.67631472,17,0.0037128887362996464,-0.034938327968120575,0.024523035,160,-0.02843343102358631,0.292437744140625,0.0003,0.2,-3.828812161833048,0.33225974440574646,0.8994323015213013,,
6656,44,1000.0,294912,329.12450430999996,18,0.00265056952375744,-0.044202473014593124,0.024531364,170,-0.029246664324455197,0.293804931640625,0.0003,0.2,-3.719408766180277,0.32936379313468933,0.9088682532310486,,
,,,300000,,,0.002615344293008093,-0.03270554170012474,0.025698386,180,-0.030285232142705353,0.300390625,0.0003,0.2,-3.623702620714903,0.3266936242580414,0.918549120426178,1000.0,430.7696836
6454,48,1000.0,311296,337.66476347,19,,,,,,,,,,,,,
6478,50,1000.0,327680,344.28164311,20,0.0027641625581964037,-0.052160248160362244,0.02555373,190,-0.030279013232211584,0.305511474609375,0.0003,0.2,-3.5359195090830324,0.3238855302333832,0.9208338856697083,,
6503,52,1000.0,344064,354.81433378,21,0.0021176048860070294,-0.03352952376008034,0.025907218,200,-0.030053088761633262,0.303607177734375,0.0003,0.2,-3.420266129821539,0.32094934582710266,0.9442551136016846,,
6520,55,1000.0,360448,362.59967084999994,22,0.002587763585324865,-0.032666873186826706,0.02765346,210,-0.030187352088978513,0.306329345703125,0.0003,0.2,-3.3108263336122037,0.31822049617767334,0.9482033848762512,,
6546,57,1000.0,376832,370.05193575,23,0.003003564510254364,-0.03771660849452019,0.027314775,220,-0.030870529478124808,0.299310302734375,0.0003,0.2,-3.1954368270933626,0.314922958612442,0.9342510104179382,,
6563,59,1000.0,393216,377.79385416,24,0.0017594225365428428,-0.0406598262488842,0.02769453,230,-0.03069372185927932,0.30927734375,0.0003,0.2,-3.0645648509263994,0.3117460608482361,0.9514157772064209,,
,,,400000,,,0.0017796484851714922,-0.037540365010499954,0.027280632,240,-0.02999059299545479,0.3205078125,0.0003,0.2,-2.962331148982048,0.3090613782405853,0.9380491375923157,1000.0,476.871208
6427,63,1000.0,409600,386.2857506000001,25,,,,,,,,,,,,,
6449,66,1000.0,425984,395.26704839000007,26,0.0022282617187556752,-0.03297519311308861,0.027340963,250,-0.027247346295189344,0.3138427734375,0.0003,0.2,-2.8683319985866547,0.306549608707428,0.9207414984703064,,
6467,68,1000.0,442368,403.92522019000006,27,0.0016885238226677756,-0.04192080721259117,0.028836533,260,-0.02997497283904522,0.32142333984375,0.0003,0.2,-2.7584065824747084,0.30364516377449036,0.9405214786529541,,
6483,70,1000.0,458752,414.19911771,28,0.0012288110435292765,-0.04800764098763466,0.028947275,270,-0.029176534387806895,0.331768798828125,0.0003,0.2,-2.6246418386697767,0.30065616965293884,0.9487846493721008,,
6503,73,1000.0,475136,422.8710783200001,29,0.001279922206686024,-0.037323951721191406,0.029192854,280,-0.027742212196608308,0.324981689453125,0.0003,0.2,-2.523615091666579,0.29779401421546936,0.9397380948066711,,
6518,75,1000.0,491520,430.83902083,30,0.0014426916181037087,-0.034535620361566544,0.030349676,290,-0.029004658852136343,0.336114501953125,0.0003,0.2,-2.3777594186365603,0.2941570281982422,0.9562286138534546,,
,,,500000,,,0.000937039436030318,-0.03185262158513069,0.028917128,300,-0.029855241149198262,0.338836669921875,0.0003,0.2,-2.246752446144819,0.2912052571773529,0.9505983591079712,1000.0,523.1395252
6409,79,1000.0,507904,439.74110549000005,31,,,,,,,,,,,,,
6427,81,1000.0,524288,448.2241749100001,32,0.0009438878807031869,-0.04722483828663826,0.02743526,310,-0.02912076536231325,0.329443359375,0.0003,0.2,-2.1358235642313956,0.2885912358760834,0.9317923784255981,,
6438,83,1000.0,540672,456.64654516,33,0.001128388296592675,-0.03775157406926155,0.030180652,320,-0.02808565437007928,0.34202880859375,0.0003,0.2,-2.02933714017272,0.2855844795703888,0.9340680241584778,,
6456,86,1000.0,557056,464.21656225,34,0.0009108191546602029,-0.03515833616256714,0.030359078,330,-0.029547306845415733,0.3523681640625,0.0003,0.2,-1.8918529650196434,0.2824288010597229,0.9513393044471741,,
6472,88,1000.0,573440,471.78511431,35,0.001070488609093445,-0.03968066722154617,0.030630184,340,-0.028174902419777936,0.340728759765625,0.0003,0.2,-1.7668367795646192,0.2796942889690399,0.9550290703773499,,
6467,91,1000.0,589824,480.00961259999997,36,0.0009975079323339743,-0.036317527294158936,0.031542547,350,-0.028094617320311953,0.3478759765625,0.0003,0.2,-1.6413389399647713,0.2768928110599518,0.9539888501167297,,
,,,600000,,,0.0007563063876204979,-0.027964117005467415,0.030643307,360,-0.02934512361025554,0.344793701171875,0.0003,0.2,-1.5104362504556774,0.2737574875354767,0.9616211652755737,1000.0,574.2185483999999
6366,95,1000.0,606208,488.00903909,37,,,,,,,,,,,,,
6371,97,1000.0,622592,493.99199745,38,0.0007786412747464056,-0.04264399781823158,0.032918323,370,-0.02624189496636973,0.3488525390625,0.0003,0.2,-1.3723073730245232,0.27038317918777466,0.9605343341827393,,
6379,100,1000.0,638976,501.1996228900001,39,0.0006983772181229142,-0.022442147135734558,0.03065664,380,-0.027321427770220907,0.346649169921875,0.0003,0.2,-1.2581843970343471,0.26822927594184875,0.9571539759635925,,
6394,102,1000.0,655360,507.7861798699999,40,0.0007055585378111573,-0.045616794377565384,0.03209426,390,-0.02722769709653221,0.344586181640625,0.0003,0.2,-1.1383099731057882,0.26509854197502136,0.9602022171020508,,
6408,104,1000.0,671744,513.81596698,41,0.0007755918089515035,-0.027384143322706223,0.033563238,400,-0.02645774762786459,0.352978515625,0.0003,0.2,-1.019981362298131,0.2626645267009735,0.9586440920829773,,
6422,107,1000.0,688128,521.62742968,42,0.0007196566272341442,-0.036691274493932724,0.03409201,410,-0.026594977937202204,0.356060791015625,0.0003,0.2,-0.9039016802795231,0.2604360282421112,0.9693503379821777,,
,,,700000,,,0.000728171384844245,-0.03037588857114315,0.03446088,420,-0.027657380290474976,0.353070068359375,0.0003,0.2,-0.7747984742745757,0.2571488618850708,0.9636293649673462,1000.0,599.1883262
6343,111,1000.0,704512,527.29637395,43,,,,,,,,,,,,,
6356,113,1000.0,720896,531.0244082900001,44,0.0007816262679170904,-0.04496517777442932,0.035326127,430,-0.02824172219443426,0.358660888671875,0.0003,0.2,-0.6354156976565719,0.25444546341896057,0.971913754940033,,
6369,115,1000.0,737280,535.4355465000001,45,0.0008364759854885051,-0.041579876095056534,0.038583796,440,-0.026940658105013428,0.3693115234375,0.0003,0.2,-0.5031449614558369,0.2515237033367157,0.9692603945732117,,
6383,118,1000.0,753664,540.11677222,46,0.0006587497552118293,-0.03736758977174759,0.033474565,450,-0.023283417545462724,0.349664306640625,0.0003,0.2,-0.3691495290026069,0.24861760437488556,0.9691848158836365,,
6396,120,1000.0,770048,546.36190714,47,0.0006565673361365043,-0.03476056456565857,0.03247621,460,-0.024967531725997104,0.3579345703125,0.0003,0.2,-0.23813969907350838,0.24633540213108063,0.9584275484085083,,
6409,122,1000.0,786432,551.9450523600001,48,0.0007073150346968759,-0.0389544777572155,0.034121007,470,-0.02500264614573098,0.36192626953125,0.0003,0.2,-0.09187546586617827,0.24312876164913177,0.9588785171508789,,
,,,800000,,,0.0009284029130867566,-0.044283874332904816,0.039642718,480,-0.024326190101055543,0.386346435546875,0.0003,0.2,0.037698421999812125,0.24024087190628052,0.9642722606658936,1000.0,616.2154969999999
6340,126,1000.0,802816,556.2777411699999,49,,,,,,,,,,,,,
6340,129,1000.0,819200,562.2404373400001,50,0.0004180008887715303,-0.0234709270298481,0.038652375,490,-0.02383940809268097,0.38424072265625,0.0003,0.2,0.16244118567556143,0.2382294088602066,0.9554506540298462,,
