time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/std,train/explained_variance
1,10404,1281.001572875,1000.0,1,16384,,,,,,,,,,,
3,9787,1287.0312063124998,1000.0,2,32768,0.003084298162518636,1313,0.2,3.717016087062117,0.3367583786231884,0.0030104480363239627,0.0003,0.038008086,0.0031584310345351696,0.17816245555877686,0.9227033853530884
5,9415,1273.3076073125,1000.0,3,49152,0.0006193738288035797,1316,0.2,3.718499414382442,0.3639322916666667,0.002926672226123472,0.0003,0.033871956,-0.014741665683686733,0.17826791107654572,0.8968113660812378
7,9160,1271.182713921875,1000.0,4,65536,-0.0031344600073579284,1320,0.2,3.7098634243011475,0.3639322916666667,0.005999137937564344,0.0003,0.03282671,-0.014381751418113708,0.1785261183977127,0.803052544593811
9,8918,1273.3032896125,1000.0,5,81920,-0.00507884655421018,1325,0.2,3.6990948370202483,0.380717665615142,0.003807363631380046,0.0003,0.033180486,-0.003747043199837208,0.17852889001369476,0.8148948550224304
11,8789,1272.1864388958334,1000.0,6,98304,-0.005909020476974547,1329,0.2,3.6925657806396486,0.369484375,0.0036541328905150294,0.0003,0.03323279,-0.008590822108089924,0.1786702424287796,0.891620934009552
13,8730,1274.50372043,1000.0,7,114688,-0.0036569605176930376,1334,0.2,3.6911764954968307,0.35902811293436293,0.0033643625435710645,0.0003,0.045023873,-0.006650474853813648,0.17873014509677887,0.8747169375419617
15,8710,1270.2526928500001,1000.0,8,131072,-0.004541780522675785,1338,0.2,3.672116434193093,0.3763199200913242,0.003363805607207902,0.0003,0.034728978,0.0029375602025538683,0.17917530238628387,0.8904755711555481
16,8694,1271.0649156400002,1000.0,9,147456,-0.002694168119118191,1342,0.2,3.6745230682894716,0.3650173611111111,0.004017426136833353,0.0003,0.032567937,-0.0058590564876794815,0.1789233684539795,0.8215557336807251
18,8669,1278.61627771,1000.0,10,163840,-0.003799046444055061,1346,0.2,3.6691348675211426,0.379786314229249,0.005589257796909734,0.0003,0.035928216,-0.0070353965274989605,0.17933356761932373,0.7576417922973633
20,8691,1275.46248757,1000.0,11,180224,0.002453913778078424,1349,0.2,3.652398951445954,0.35344145569620256,0.0032565490434040565,0.0003,0.029865911,-0.002756466157734394,0.17930226027965546,0.8701967000961304
22,8734,1273.0230407299998,1000.0,12,196608,0.003079419476452513,1352,0.2,3.6580887566442075,0.358497509057971,0.0035658271585091734,0.0003,0.03595642,-0.015103606507182121,0.1790698915719986,0.8760609030723572
24,8790,1273.9138049399999,1000.0,13,212992,0.0069480628097573155,1354,0.2,3.6771654326182146,0.3468674879807692,0.006255696500794819,0.0003,0.034104712,0.0009208298288285732,0.17879195511341095,0.8415834307670593
26,8808,1269.19364011,1000.0,14,229376,0.0024126520406247843,1357,0.2,3.6873308569192886,0.3464084201388889,0.004922401777649712,0.0003,0.034487575,-0.01075682882219553,0.17882102727890015,0.851431667804718
