time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/std,train/explained_variance
1,10593,1281.0016063125,1000.0,1,16384,,,,,,,,,,,
3,9917,1287.0313488124998,1000.0,2,32768,0.003084311602583182,1313,0.2,3.717016126798547,0.3367583786231884,0.0030104442798208606,0.0003,0.038008206,0.0031586047261953354,0.17816245555877686,0.9227035045623779
5,9492,1278.1576710833333,1000.0,3,49152,-0.0027183875821979848,1317,0.2,3.7182902970484326,0.37208775111607145,0.0028730885023833252,0.0003,0.035314173,-0.0011086161248385906,0.17823226749897003,0.8968116641044617
6,9363,1278.6801010625,1000.0,4,65536,-0.00017326734960079193,1320,0.2,3.709428038095173,0.34821134868421055,0.004988440466848643,0.0003,0.030266656,0.002351173432543874,0.17851917445659637,0.830711841583252
9,9060,1280.698104675,1000.0,5,81920,-0.006238409595523006,1325,0.2,3.698962613471649,0.3786237224842767,0.0031045109352811516,0.0003,0.03326693,-0.014532094821333885,0.1785271167755127,0.8485315442085266
10,9097,1280.0261977916668,1000.0,6,98304,0.0025252993576162096,1328,0.2,3.6979555232184276,0.3506417410714286,0.0037509602743999236,0.0003,0.035264764,-0.003730779280886054,0.17856889963150024,0.899117112159729
12,8827,1283.28870572,1000.0,7,114688,-0.0010517562216479485,1332,0.2,3.70160635747866,0.3608911244292237,0.0033617489402433306,0.0003,0.03206174,0.008061008527874947,0.17858944833278656,0.8840615153312683
14,8804,1278.74278294,1000.0,8,131072,-0.005438443014833108,1336,0.2,3.6860480770665642,0.3739847191629956,0.0032099493033568567,0.0003,0.035845775,-0.026386072859168053,0.17877137660980225,0.8992875814437866
16,8752,1277.06021581,1000.0,9,147456,-0.004758998135820139,1341,0.2,3.7045446115991343,0.3632529438405797,0.004095358331181595,0.0003,0.036902152,-0.01788962259888649,0.17837785184383392,0.823536217212677
18,8737,1280.6561632299997,1000.0,10,163840,-0.0016188777549864931,1345,0.2,3.7062552361576646,0.3691948784722222,0.005808930305108704,0.0003,0.031826433,-0.026868000626564026,0.17864353954792023,0.7649996876716614
