time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/entropy_loss,train/loss,train/std,train/approx_kl,train/clip_range,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss
16384,1000.0,1,7688,2,757.1163284375,,,,,,,,,,,
32768,1000.0,2,5686,5,772.73397953125,0.237503158650361,0.0003,-4.991243755072356,0.038790032267570496,0.3664988577365875,0.015157448,0.2,10,-2.173274040222168,0.1832763671875,-0.015188836438392172
49152,1000.0,3,5047,9,784.8801600208334,0.03594714200880844,0.0003,-4.937694731354713,-0.013618096709251404,0.3648952543735504,0.015668046,0.2,20,-0.8405539989471436,0.188470458984375,-0.0195353602834075
65536,1000.0,4,4775,13,793.105314171875,0.02502612081443658,0.0003,-4.855969669669866,-0.006194792687892914,0.3619811534881592,0.014711745,0.2,30,0.2816072106361389,0.192803955078125,-0.020112691533722683
81920,1000.0,5,4562,17,798.928179875,0.017788866070623043,0.0003,-4.766152510046959,-0.02879144251346588,0.35955432057380676,0.016797792,0.2,40,0.46428239345550537,0.2161376953125,-0.023532755557607744
98304,1000.0,6,4595,21,806.5527290937499,0.014602992811705916,0.0003,-4.675307549536228,-0.03691219910979271,0.3566475808620453,0.017240062,0.2,50,0.5858196020126343,0.220526123046875,-0.023450580042845105
114688,1000.0,7,4692,24,823.4297153299999,0.012139030930120498,0.0003,-4.584097186475992,-0.02551828697323799,0.35403740406036377,0.017767671,0.2,60,0.6586742401123047,0.22779541015625,-0.02492019016917766
131072,1000.0,8,4778,27,840.06726535,0.00910016232082853,0.0003,-4.507046386599541,-0.023443516343832016,0.3519672453403473,0.018194154,0.2,70,0.6738195419311523,0.234765625,-0.025402894469880265
147456,1000.0,9,4843,30,859.5410199500001,0.00954553052870324,0.0003,-4.4275702580809595,-0.026783088222146034,0.34923186898231506,0.017739931,0.2,80,0.6947034597396851,0.22989501953125,-0.025220001757406862
163840,1000.0,10,4899,33,882.7743946300003,0.00789087738157832,0.0003,-4.324300700426102,-0.033893000334501266,0.34636518359184265,0.019298749,0.2,90,0.7142946720123291,0.25357666015625,-0.02669501194068289
180224,1000.0,11,4942,36,907.6513279400001,0.006279308416196727,0.0003,-4.224646600335836,-0.03885567560791969,0.34358787536621094,0.019867297,0.2,100,0.785485029220581,0.248724365234375,-0.02722993404022418
196608,1000.0,12,4981,39,929.9795788100001,0.00593649714573985,0.0003,-4.135058168321848,-0.032415349036455154,0.34111452102661133,0.019196592,0.2,110,0.834246039390564,0.252880859375,-0.02757873668015236
212992,1000.0,13,5015,42,955.5623992099999,0.005562286993517773,0.0003,-4.044563835859298,-0.03503088280558586,0.3386319875717163,0.019258194,0.2,120,0.8272225260734558,0.244146728515625,-0.025712724899858586
229376,1000.0,14,5044,45,982.4879521100002,0.004671794508612948,0.0003,-3.971987457945943,-0.034729618579149246,0.33641067147254944,0.02103522,0.2,130,0.8257086277008057,0.26363525390625,-0.027994415238208604
245760,1000.0,15,5071,48,1004.3332049899999,0.004281127425929299,0.0003,-3.8707758631557225,-0.043729688972234726,0.33362486958503723,0.019445952,0.2,140,0.8045536875724792,0.24566650390625,-0.02645470858697081
262144,1000.0,16,5114,51,1018.1745479299998,0.004332057132705814,0.0003,-3.770695269852877,-0.03220441937446594,0.33054667711257935,0.020273883,0.2,150,0.8518810868263245,0.25665283203125,-0.026251750285882735
278528,1000.0,17,5188,53,1033.9315335100002,0.004996927726460853,0.0003,-3.6774485759437083,-0.03308270871639252,0.3284014165401459,0.020053547,0.2,160,0.8783013224601746,0.24716796875,-0.026276883128957707
294912,1000.0,18,5250,56,1054.280355,0.003646272663172567,0.0003,-3.5760722141712904,-0.050349440425634384,0.325368732213974,0.021997914,0.2,170,0.8751320838928223,0.274188232421875,-0.02848303615573968
