time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/learning_rate,train/entropy_loss,train/loss,train/std,train/approx_kl,train/clip_range,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss
16384,1000.0,1,10514,1,281.9039593125,,,,,,,,,,,
32768,1000.0,2,8196,3,292.93059174999996,0.17430403660982846,0.0003,-4.985799617320299,0.019228190183639526,0.36651611328125,0.015781445,0.2,10,-2.603350877761841,0.185302734375,-0.015573631734514492
49152,1000.0,3,7581,6,299.98901970833333,0.034259506089438216,0.0003,-4.914156411588192,-0.007252722047269344,0.3640782833099365,0.015733512,0.2,20,-0.837444543838501,0.196112060546875,-0.020342527687171243
65536,1000.0,4,7351,8,303.46203153125,0.024222909660602455,0.0003,-4.812911494076252,-0.005422500893473625,0.36058199405670166,0.016516324,0.2,30,0.2819773554801941,0.199456787109375,-0.021199406539381016
81920,1000.0,5,7126,11,303.91713988749996,0.018122728996968363,0.0003,-4.684640891849995,-0.024724535644054413,0.3571265637874603,0.017284952,0.2,40,0.39827609062194824,0.21800537109375,-0.023283592114239582
98304,1000.0,6,7063,13,302.7203446979167,0.02311285950272577,0.0003,-4.584432909637689,-0.020873025059700012,0.3539679944515228,0.01666714,0.2,50,0.42433393001556396,0.2079345703125,-0.021105986463226145
114688,1000.0,7,7009,16,306.84357819,0.02848965392622631,0.0003,-4.489199714362622,-0.003088857978582382,0.3514735698699951,0.016476467,0.2,60,0.3694456219673157,0.2111328125,-0.02177220193152607
131072,1000.0,8,6984,18,309.31406932,0.014520925463875756,0.0003,-4.40060875415802,-0.02394609898328781,0.3487687110900879,0.016926281,0.2,70,0.40203946828842163,0.216290283203125,-0.023542523389187407
147456,1000.0,9,6947,21,313.19617997,0.02210262612788938,0.0003,-4.32075964063406,-0.01128306332975626,0.3463645279407501,0.019300476,0.2,80,0.36756932735443115,0.23807373046875,-0.022719801127823302
163840,1000.0,10,6921,23,318.64130128,0.007648319677537074,0.0003,-4.19969950094819,-0.04277365654706955,0.34264612197875977,0.01808076,0.2,90,0.5684185028076172,0.22596435546875,-0.024798243519762765
180224,1000.0,11,6897,26,323.50570748,0.008295943303528475,0.0003,-4.084625596553087,-0.03492297977209091,0.33975040912628174,0.019774985,0.2,100,0.5976815223693848,0.2394287109375,-0.02551955041126348
196608,1000.0,12,6874,28,329.3446335,0.01198217578639742,0.0003,-3.98751476444304,-0.03143532946705818,0.3369236886501312,0.020642646,0.2,110,0.6179536581039429,0.259912109375,-0.02614544525713427
212992,1000.0,13,6862,31,337.19972086,0.012136973369342741,0.0003,-3.8901850908994673,-0.040233805775642395,0.3343653678894043,0.018768854,0.2,120,0.5716404318809509,0.231634521484375,-0.024322180300805483
